"Year","OM","Total Divers","# Air Dives","# Air Divers","Air Dive Time (min)","# MIxed Gas Dives","# Mixed Gas Divers","Mixed Gas Time (mins)","# Nitrox Dives","# Nitrox Divers","Nitrox Dive Time (min)","ContactKey","# Hookah Dives","# Hookah Divers","Hookah Dive Time (min)","# Open Circuit Dives","# Open Circuit Divers","Open Circuit Dive Time (min)","# Rebreather Dives","# Rebreather Divers","Rebreather Dive Time (min)","# Surface Supplied Dives","# Surface Supplied Divers","Surface Supplied Dive Time (min)","# Computer Dives","# Computer Divers","Computer Dive Time (min)","# Software Dives","# Software Divers","Software Dive Time (min)","# Table Dives","# Table Divers","Table Dive Time (min)","# 0-30ft Dives","# 0-30ft Divers","#31-60ft Dives","#31-60ft Divers","#61-100ft Dives","#61-100ft Divers","# 101-130ft Dives","# 101-130ft Divers","# 131-150ft Dives","#131-150ft Divers","# 151-190ft Dives","#151-190ft Divers","# 191+ft Dives","# 191+ft Divers","# Science Dives","# Science Divers","Science Dive Time (min)","#T/P Dives","# T/P Divers","T/P Dive Time (min)","# Aquarium Dives","# Aquarium Divers","Aquarium Dive Time (min)","# Bluewater Dives","# Bluewater Divers","Blue Water Dive Time (min)","# IcePolar Dives","# IcePolar Divers","IcePolar Dive Time (min)","# Overhead Dives","# Overhead Divers","Overhead Dive Time (min)","# ReqDecomp Dives","# ReqDecomp Divers","ReqDecomp Dive Time (min)","# Sat Dives","# Sat Divers","Sat Dive Time (min)","Total  Dive Incidents"
"2018","Alaska Pacific University","0","0","0","0","0","0","0","0","0","0","24864","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","Alaska Pacific University","0","0","0","0","0","0","0","0","0","0","24864","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2014","Alaska Pacific University","5","86","5","3046","0","0","0","0","0","0","24864","0","0","0","86","5","3046","0","0","0","0","0","0","44","4","1369","0","0","0","42","3","1677","50","5","31","4","5","3","0","0","0","0","0","0","0","0","50","4","1618","36","4","1428","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","Alaska Pacific University","4","23","4","640","0","0","0","0","0","0","24864","0","0","0","23","4","640","0","0","0","0","0","0","23","4","640","0","0","0","0","0","0","13","3","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","23","4","640","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","Alaska Pacific University","10","147","10","4499","0","0","0","0","0","0","24864","0","0","0","147","10","4499","0","0","0","0","0","0","51","5","1486","0","0","0","96","7","3013","136","10","3","3","8","4","0","0","0","0","0","0","0","0","28","4","832","119","8","3667","8","2","305","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","Alaska Pacific University","8","230","8","7307","0","0","0","0","0","0","24864","0","0","0","230","8","7307","0","0","0","0","0","0","197","7","6201","2","1","51","31","5","1055","93","8","109","7","28","6","0","0","0","0","0","0","0","0","103","8","3546","127","8","3761","13","3","398","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","Alaska Pacific University","8","103","8","2988","0","0","0","0","0","0","24864","0","0","0","103","8","2988","0","0","0","0","0","0","94","8","2699","0","0","0","9","2","289","79","8","19","8","5","5","0","0","0","0","0","0","0","0","12","5","427","91","8","2561","15","2","495","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019","Alaska Pacific University","6","69","6","1931","0","0","0","0","0","0","24864","0","0","0","69","6","1931","0","0","0","0","0","0","69","6","1931","0","0","0","0","0","0","55","5","9","5","5","5","0","0","0","0","0","0","0","0","0","0","0","69","6","1931","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020","Alaska Pacific University","2","37","2","1358","0","0","0","0","0","0","24864","0","0","0","37","2","1358","0","0","0","0","0","0","14","1","469","0","0","0","23","1","889","0","0","37","2","0","0","0","0","0","0","0","0","0","0","34","2","1260","3","2","98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021","Alaska Pacific University","7","97","7","3246","0","0","0","0","0","0","24864","0","0","0","97","7","3246","0","0","0","0","0","0","97","7","3246","0","0","0","0","0","0","80","6","12","5","5","5","0","0","0","0","0","0","0","0","55","6","1923","42","7","1323","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
